weekend,n_trades,pnl_usd,pnl_pct,cum_equity
2026-03-14,10,875.188242438524,8.75188242438524,10875.188242438524
2026-03-21,2,1.4066234061010618,0.012934244214844572,10876.594865844625
2026-03-28,2,175.0586057224882,1.6094982656034966,11051.653471567113
2026-04-04,3,203.10186452600283,1.8377509306505897,11254.755336093116
2026-04-11,1,-183.43474170976697,-1.6298421087973913,11071.320594383349
2026-04-18,2,24.810359759203493,0.22409575757195732,11096.130954142553
2026-04-25,2,112.47413376598888,1.013633799301896,11208.605087908541
2026-05-09,3,70.43649517411905,0.6284144603337263,11279.04158308266
2026-05-16,2,60.429609725482806,0.5357690126448391,11339.471192808143
2026-05-23,2,158.05304511441864,1.393830827090605,11497.524237922562
2026-05-30,2,213.6606011595377,1.8583183365234037,11711.1848390821
2026-06-06,2,248.43638541255314,2.1213599548312234,11959.621224494653
2026-06-13,2,151.3712222611557,1.2656857555917438,12110.992446755808
2026-06-20,2,-2.5512108948314562,-0.021065250482546982,12108.441235860977
2026-06-27,2,221.77505866267893,1.8315739767217813,12330.216294523656
2026-07-04,2,189.4604211408332,1.5365539145082165,12519.67671566449
