entry_time,entry_price,exit_time,exit_price,exit_reason,weekend,ret_pct,pnl_usd,equity_after
2026-03-14 03:30:00+00:00,337.5571384615233,2026-03-14 04:00:00+00:00,339.16246592616295,band,2026-03-14,0.47557206817079745,47.55720681708044,10047.55720681708
2026-03-14 06:30:00+00:00,337.6196627703383,2026-03-14 06:30:00+00:00,339.24333722966173,band,2026-03-14,0.48091821607792307,48.32053287843337,10095.877739695514
2026-03-14 07:00:00+00:00,337.6296606529651,2026-03-14 07:00:00+00:00,339.2463393470349,band,2026-03-14,0.47883195183243904,48.342288435600494,10144.220028131114
2026-03-14 07:30:00+00:00,337.60767414491824,2026-03-14 09:00:00+00:00,339.5522683251601,band,2026-03-14,0.5759922919901326,58.4299254445541,10202.649953575668
2026-03-14 09:30:00+00:00,337.25198089537133,2026-03-14 10:30:00+00:00,339.6166153868423,band,2026-03-14,0.7011476953205957,71.53564501112305,10274.185598586791
2026-03-14 11:00:00+00:00,336.8872789095575,2026-03-14 15:00:00+00:00,340.26192305569657,band,2026-03-14,1.0017131418740957,102.91786736158065,10377.103465948372
2026-03-14 17:00:00+00:00,335.1990789032877,2026-03-14 17:00:00+00:00,340.20592109671225,band,2026-03-14,1.493692109717611,155.00197568810472,10532.105441636477
2026-03-15 01:00:00+00:00,335.09833073529626,2026-03-15 01:30:00+00:00,339.69325974824375,band,2026-03-14,1.3712181146545772,144.41813767023996,10676.523579306717
2026-03-15 06:30:00+00:00,335.1495992620721,2026-03-15 07:00:00+00:00,341.2465557281044,band,2026-03-14,1.8191746251394834,194.22460780178153,10870.748187108498
2026-03-15 18:30:00+00:00,338.3817911251913,2026-03-15 23:30:00+00:00,338.52,forced,2026-03-14,0.04084406384549337,4.440055330025643,10875.188242438524
2026-03-22 00:00:00+00:00,330.7970078937949,2026-03-22 10:30:00+00:00,332.1522676100934,band,2026-03-21,0.40969527654664784,44.55513254482685,10919.74337498335
2026-03-22 12:30:00+00:00,328.9799384135358,2026-03-22 23:30:00+00:00,327.68,forced,2026-03-21,-0.39514215359289123,-43.148509138725785,10876.594865844625
2026-03-28 15:30:00+00:00,325.0365665580363,2026-03-28 16:00:00+00:00,328.05877454575176,band,2026-03-28,0.9298055353337631,101.13118111845142,10977.726046963076
2026-03-29 15:30:00+00:00,324.33255770367987,2026-03-29 23:00:00+00:00,326.51671411309457,band,2026-03-28,0.6734311303431367,73.92742460403679,11051.653471567113
2026-04-04 06:00:00+00:00,335.38993272061606,2026-04-04 06:00:00+00:00,338.2660672793839,band,2026-04-04,0.8575494605449848,94.77339472672611,11146.42686629384
2026-04-05 11:30:00+00:00,334.28968606248935,2026-04-05 15:00:00+00:00,336.6332049070342,band,2026-04-04,0.7010443164276334,78.1413920309169,11224.568258324756
2026-04-05 22:00:00+00:00,333.8222267149405,2026-04-05 23:30:00+00:00,334.72,forced,2026-04-04,0.2689375401675021,30.187077768359813,11254.755336093116
2026-04-12 01:30:00+00:00,369.2684933999542,2026-04-12 23:30:00+00:00,363.25,forced,2026-04-11,-1.6298421087973982,-183.43474170976697,11071.320594383349
2026-04-18 10:30:00+00:00,367.92617927653237,2026-04-19 03:00:00+00:00,367.14617529715696,band,2026-04-18,-0.21200013027318698,-23.47121408305611,11047.849380300293
2026-04-19 07:00:00+00:00,364.1386326959996,2026-04-19 23:30:00+00:00,365.73,forced,2026-04-18,0.43702237585127746,48.281573842259604,11096.130954142553
2026-04-26 01:30:00+00:00,403.7583206690147,2026-04-26 05:00:00+00:00,408.0275456825059,band,2026-04-25,1.0573714013911084,117.32731537001018,11213.458269512563
2026-04-26 23:30:00+00:00,408.51680595940735,2026-04-26 23:30:00+00:00,408.34,forced,2026-04-25,-0.043279972042311335,-4.853181604021302,11208.605087908541
2026-05-09 09:30:00+00:00,411.3983164930448,2026-05-09 12:30:00+00:00,412.47582775054116,band,2026-05-09,0.2619143575213438,29.356946003101257,11237.962033911643
2026-05-09 15:00:00+00:00,411.2741643942224,2026-05-10 08:30:00+00:00,412.2049412712871,band,2026-05-09,0.22631542597276538,25.433241647704563,11263.395275559347
2026-05-10 19:00:00+00:00,411.09893060809503,2026-05-10 23:30:00+00:00,411.67,forced,2026-05-09,0.1389128867497325,15.646307523313226,11279.04158308266
2026-05-16 09:30:00+00:00,400.16725169953264,2026-05-16 21:00:00+00:00,401.27452778345156,band,2026-05-16,0.2767033232270395,31.209482888549246,11310.25106597121
2026-05-17 23:30:00+00:00,400.6249820572968,2026-05-17 23:30:00+00:00,401.66,forced,2026-05-16,0.2583508241019297,29.22012683693356,11339.471192808143
2026-05-23 09:00:00+00:00,402.27602709796076,2026-05-23 14:30:00+00:00,405.99568713525355,band,2026-05-23,0.9246536673155981,104.85083623849641,11444.32202904664
2026-05-24 11:00:00+00:00,411.84568220029973,2026-05-24 13:30:00+00:00,413.7602648163302,band,2026-05-23,0.4648786423598671,53.202208875922224,11497.524237922562
2026-05-30 03:30:00+00:00,418.9067724463877,2026-05-30 07:00:00+00:00,420.5010771711586,band,2026-05-30,0.3805870016042614,43.75808275583222,11541.282320678394
2026-05-31 19:00:00+00:00,425.28919609120726,2026-05-31 23:30:00+00:00,431.55,forced,2026-05-30,1.4721286048023812,169.90251840370547,11711.1848390821
2026-06-06 02:00:00+00:00,402.30286653728564,2026-06-07 02:00:00+00:00,408.23846984433663,band,2026-06-06,1.475406665167493,172.7876016859027,11883.972440768002
