token,tf,bars,cycles,reach30,reach60,reach100,final30,final60,final100,open,resolved,wins,pnl
GME,8H,222,6,6,4,3,2,1,3,1,5,5,2.47
GME,12H,149,5,5,5,2,0,3,2,0,5,5,3.45
GOOGL,8H,417,9,9,9,8,0,1,8,1,8,5,22.55
GOOGL,12H,279,7,7,6,4,1,2,4,1,6,5,16.79
HIMS,8H,254,7,7,7,4,0,3,4,1,6,6,11.72
HIMS,12H,171,5,5,3,2,2,1,2,1,4,3,7.13
HOOD,8H,438,14,14,10,7,4,3,7,1,13,12,30.33
HOOD,12H,293,9,9,6,5,3,1,5,1,8,6,23.65
HPE,8H,147,3,3,3,3,0,0,3,1,2,1,2.53
HPE,12H,99,2,2,2,1,0,1,1,1,1,1,4.39
HYUNDAI,8H,123,3,3,3,3,0,0,3,1,2,1,-47.68
HYUNDAI,12H,83,2,2,2,2,0,0,2,1,1,0,-50.78
IBM,8H,165,3,3,3,2,0,1,2,1,2,1,-6.63
IBM,12H,111,2,2,2,2,0,0,2,1,1,1,6.17
INFQ,8H,168,4,4,4,1,0,3,1,1,3,2,0.99
INFQ,12H,113,3,3,3,1,0,2,1,1,2,2,1.09
INTC,8H,435,10,10,9,5,1,4,5,1,9,8,30.19
INTC,12H,291,7,7,6,2,1,4,2,1,6,6,13.25
IREN,8H,129,2,2,2,2,0,0,2,0,2,1,-1.79
IREN,12H,87,1,1,1,1,0,0,1,1,0,0,0.00
ISRG,8H,120,3,3,3,2,0,1,2,1,2,2,15.58
ISRG,12H,81,4,4,3,1,1,2,1,1,3,3,16.97
IWM,8H,305,17,17,12,9,5,3,9,1,16,16,56.87
IWM,12H,205,11,11,8,6,3,2,6,1,10,10,40.70
JNJ,8H,33,1,1,1,1,0,0,1,1,0,0,0.00
KIOXIA,8H,76,1,1,1,1,0,0,1,1,0,0,0.00
KIOXIA,12H,52,1,1,1,1,0,0,1,1,0,0,0.00
KLAC,8H,84,2,2,2,1,0,1,1,1,1,1,7.05
KLAC,12H,57,2,2,2,1,0,1,1,1,1,1,9.96
KORU,8H,81,1,1,1,1,0,0,1,1,0,0,0.00
KORU,12H,55,1,1,1,1,0,0,1,1,0,0,0.00
LITE,8H,222,7,7,7,5,0,2,5,1,6,6,307.15
LITE,12H,149,6,6,5,4,1,1,4,1,5,5,332.73
LLY,8H,254,8,8,7,4,1,3,4,1,7,6,166.83
LLY,12H,171,5,5,2,2,3,0,2,1,4,4,73.56
LRCX,8H,84,2,2,2,2,0,0,2,1,1,1,18.12
LRCX,12H,57,2,2,2,1,0,1,1,1,1,1,4.21
LUNR,8H,150,3,3,2,2,1,0,2,1,2,1,-0.04
LUNR,12H,101,2,2,2,2,0,0,2,1,1,1,0.91
META,8H,417,10,10,10,9,0,1,9,1,9,6,12.87
META,12H,279,7,7,6,4,1,2,4,1,6,6,77.14
MINIMAX,8H,81,2,2,2,2,0,0,2,1,1,0,-0.29
MINIMAX,12H,55,1,1,1,0,0,1,0,1,0,0,0.00
MRVL,8H,210,6,6,5,4,1,1,4,1,5,5,90.93
MRVL,12H,141,2,2,1,1,1,0,1,1,1,1,16.68
MSFT,8H,417,12,12,9,8,3,1,8,0,12,10,43.53
MSFT,12H,279,7,7,7,6,0,1,6,0,7,5,41.56
MSTR,8H,438,9,9,7,5,2,2,5,0,9,6,-36.13
MSTR,12H,293,7,7,6,5,1,1,5,0,7,5,9.72
MU,8H,417,6,6,6,5,0,1,5,1,5,4,251.40
MU,12H,279,5,5,5,3,0,2,3,1,4,3,356.17
MUU,8H,57,1,1,1,1,0,0,1,1,0,0,0.00
MUU,12H,39,1,1,1,1,0,0,1,1,0,0,0.00
MVLL,8H,57,1,1,1,1,0,0,1,1,0,0,0.00
MVLL,12H,39,1,1,1,1,0,0,1,1,0,0,0.00
NBIS,8H,189,4,4,4,4,0,0,4,1,3,3,69.87
NBIS,12H,127,2,2,2,1,0,1,1,1,1,1,18.06
NFLX,8H,396,10,10,9,8,1,1,8,1,9,4,-12.37
NFLX,12H,265,6,6,6,6,0,0,6,1,5,2,-9.34
NOK,8H,165,5,5,5,4,0,1,4,1,4,3,1.08
NOK,12H,111,1,1,1,1,0,0,1,1,0,0,0.00
NOW,8H,147,3,3,3,2,0,1,2,1,2,1,3.13
NOW,12H,99,2,2,2,2,0,0,2,1,1,1,2.43
NVDA,8H,417,9,9,9,9,0,0,9,1,8,6,19.67
NVDA,12H,279,6,6,4,4,2,0,4,1,5,4,11.90
ON,8H,45,1,1,1,1,0,0,1,1,0,0,0.00
ON,12H,31,1,1,1,1,0,0,1,1,0,0,0.00
ONDS,8H,105,2,2,2,2,0,0,2,1,1,0,-0.70
ONDS,12H,71,1,1,1,1,0,0,1,1,0,0,0.00
OPENAI,8H,225,4,4,3,3,1,0,3,1,3,2,110.45
OPENAI,12H,151,4,4,2,2,2,0,2,1,3,3,136.93
ORCL,8H,396,10,10,10,9,0,1,9,1,9,8,-10.94
ORCL,12H,265,6,6,6,5,0,1,5,1,5,4,-14.83
OSCR,8H,45,2,2,1,1,1,0,1,1,1,1,0.57
OSCR,12H,31,1,1,1,1,0,0,1,1,0,0,0.00
PENG,8H,33,1,1,1,1,0,0,1,1,0,0,0.00
PLTR,8H,435,11,11,10,8,1,2,8,0,11,8,23.82
PLTR,12H,291,9,9,7,5,2,2,5,0,9,8,33.58
POET,8H,105,2,2,2,2,0,0,2,1,1,0,-2.97
POET,12H,71,2,2,2,2,0,0,2,1,1,0,-0.42
QCOM,8H,189,5,5,4,3,1,1,3,1,4,3,-3.77
QCOM,12H,127,3,3,3,3,0,0,3,1,2,1,-12.98
QNT,8H,138,4,4,2,0,2,2,0,1,3,3,10.94
