Date,MSFT|Buy&Hold,MSFT|SMA 50/200 (Golden Cross),MSFT|SMA 10/20 (backtesting.py),MSFT|RSI(2) MeanRev (Connors),MSFT|Bollinger MeanRev,MSFT|MACD Crossover,MSFT|Donchian Breakout (Turtle),NVDA|Buy&Hold,NVDA|SMA 50/200 (Golden Cross),NVDA|SMA 10/20 (backtesting.py),NVDA|RSI(2) MeanRev (Connors),NVDA|Bollinger MeanRev,NVDA|MACD Crossover,NVDA|Donchian Breakout (Turtle),TSLA|Buy&Hold,TSLA|SMA 50/200 (Golden Cross),TSLA|SMA 10/20 (backtesting.py),TSLA|RSI(2) MeanRev (Connors),TSLA|Bollinger MeanRev,TSLA|MACD Crossover,TSLA|Donchian Breakout (Turtle),AMZN|Buy&Hold,AMZN|SMA 50/200 (Golden Cross),AMZN|SMA 10/20 (backtesting.py),AMZN|RSI(2) MeanRev (Connors),AMZN|Bollinger MeanRev,AMZN|MACD Crossover,AMZN|Donchian Breakout (Turtle),GOOGL|Buy&Hold,GOOGL|SMA 50/200 (Golden Cross),GOOGL|SMA 10/20 (backtesting.py),GOOGL|RSI(2) MeanRev (Connors),GOOGL|Bollinger MeanRev,GOOGL|MACD Crossover,GOOGL|Donchian Breakout (Turtle),META|Buy&Hold,META|SMA 50/200 (Golden Cross),META|SMA 10/20 (backtesting.py),META|RSI(2) MeanRev (Connors),META|Bollinger MeanRev,META|MACD Crossover,META|Donchian Breakout (Turtle),JPM|Buy&Hold,JPM|SMA 50/200 (Golden Cross),JPM|SMA 10/20 (backtesting.py),JPM|RSI(2) MeanRev (Connors),JPM|Bollinger MeanRev,JPM|MACD Crossover,JPM|Donchian Breakout (Turtle),KO|Buy&Hold,KO|SMA 50/200 (Golden Cross),KO|SMA 10/20 (backtesting.py),KO|RSI(2) MeanRev (Connors),KO|Bollinger MeanRev,KO|MACD Crossover,KO|Donchian Breakout (Turtle),XOM|Buy&Hold,XOM|SMA 50/200 (Golden Cross),XOM|SMA 10/20 (backtesting.py),XOM|RSI(2) MeanRev (Connors),XOM|Bollinger MeanRev,XOM|MACD Crossover,XOM|Donchian Breakout (Turtle),JNJ|Buy&Hold,JNJ|SMA 50/200 (Golden Cross),JNJ|SMA 10/20 (backtesting.py),JNJ|RSI(2) MeanRev (Connors),JNJ|Bollinger MeanRev,JNJ|MACD Crossover,JNJ|Donchian Breakout (Turtle)
2019-11,5.95,5.95,5.95,0.0,0.0,5.95,5.95,7.9,7.9,7.9,0.0,0.0,3.41,7.9,4.77,3.96,4.77,0.0,0.0,11.79,5.7,1.36,0.0,-1.41,0.0,1.87,-1.21,-3.24,3.6,3.6,3.6,1.39,0.0,3.37,2.72,5.21,5.21,5.21,0.0,0.0,2.48,5.21,5.48,5.48,5.48,0.72,0.0,2.8,5.48,-1.16,-1.16,-3.27,-0.12,1.43,-1.2,0.0,2.04,0.0,4.3,0.0,0.0,-0.54,-4.33,4.85,0.0,4.04,0.0,0.0,4.8,2.54
2019-12,4.17,4.17,4.17,1.53,0.0,0.07,1.4,8.56,8.56,8.56,3.33,0.0,1.28,0.51,26.79,26.79,18.82,0.0,0.0,16.67,16.25,2.61,0.0,3.1,0.0,0.0,-0.36,-4.6,2.71,2.71,-0.82,3.5,0.0,0.74,-0.08,1.79,1.79,-0.61,4.22,4.22,-1.94,-1.2,5.8,5.8,5.8,1.87,0.0,-0.96,5.8,3.65,3.65,3.65,1.86,0.0,3.65,2.93,2.42,0.0,-0.85,0.0,0.0,0.12,-0.85,6.09,2.83,6.09,0.0,0.0,6.09,6.09
2020-01,7.95,7.95,7.95,3.45,0.0,-0.73,7.95,0.48,0.48,0.48,0.26,0.0,-1.43,2.03,55.52,55.52,55.52,0.0,0.0,55.52,55.52,8.71,0.0,0.7,0.0,9.81,0.72,0.7,6.97,6.97,6.97,0.02,0.0,2.32,4.63,-1.63,-1.63,-1.63,1.48,0.0,6.13,-0.49,-4.44,-4.44,-0.96,4.04,-0.64,-1.42,-1.95,5.51,5.51,5.51,1.09,0.0,2.7,2.98,-10.98,0.0,-1.43,0.0,-8.13,-2.5,-0.84,2.06,2.06,2.06,0.79,0.0,-1.73,0.27
2020-02,-4.57,-4.57,-6.87,-9.33,2.37,5.14,5.14,14.3,14.3,5.33,7.68,0.0,-0.45,2.96,2.68,2.68,2.68,-16.53,0.0,22.89,4.32,-6.22,-7.7,-6.06,-10.17,-0.05,-0.07,-0.07,-6.53,-6.53,-10.16,-6.68,-3.44,-1.86,-0.95,-4.68,-4.68,-7.4,-8.47,3.6,-3.6,0.0,-12.28,-12.28,-8.32,-14.44,-4.5,-1.41,0.0,-8.41,-8.41,-5.99,-7.54,-2.67,1.88,0.38,-16.0,0.0,0.0,0.0,-16.0,-7.17,0.0,-9.09,-9.09,0.66,-6.64,-7.88,0.11,0.13
2020-03,-2.65,-2.65,0.0,4.89,-3.69,0.97,0.0,-2.4,-2.4,1.14,3.76,15.09,7.27,0.0,-21.56,-21.56,12.15,-6.94,-13.86,1.82,0.0,3.5,3.5,-0.82,3.67,13.38,2.41,0.0,-13.24,-13.24,0.0,3.46,-13.24,-0.14,0.0,-13.34,-18.58,0.0,-16.4,-13.82,6.73,0.0,-22.46,-21.55,0.0,-10.55,-22.46,-8.29,0.0,-16.55,-16.55,0.0,10.1,-5.28,-1.72,0.0,-26.19,0.0,0.0,0.0,-26.19,1.77,0.0,-2.49,-2.49,0.0,6.64,-1.14,-1.46,0.0
2020-04,13.63,13.63,15.37,0.0,0.0,13.63,8.38,10.88,10.88,20.19,0.0,0.0,10.88,8.84,49.21,49.21,51.39,0.0,-1.53,49.21,36.39,26.89,26.89,26.89,0.0,0.0,26.89,23.79,15.9,8.48,13.82,0.0,1.78,15.9,6.39,22.73,0.0,32.71,0.0,0.0,22.73,17.4,7.47,0.0,2.72,0.0,0.35,7.47,0.0,3.71,-0.73,-4.08,0.0,5.42,3.71,-7.48,22.39,0.0,14.77,0.0,6.35,22.39,5.92,14.42,14.42,9.08,-0.18,0.0,14.42,4.68
2020-05,2.54,2.54,2.54,0.0,0.0,0.25,2.54,21.47,21.47,21.47,0.0,0.0,7.57,21.47,6.79,6.79,6.79,0.0,0.0,1.11,6.79,-1.28,-1.28,-2.08,1.67,0.0,-7.64,-9.74,6.45,0.0,6.45,0.0,0.0,3.72,6.45,9.96,0.0,9.96,2.72,0.0,9.96,9.96,1.62,0.0,-12.75,0.0,8.58,-3.26,-4.05,1.72,0.0,-0.97,0.0,5.98,-3.77,0.0,-0.25,0.0,-4.53,0.0,0.0,-7.91,-8.07,-0.17,-0.17,-0.94,0.1,0.0,-1.22,-1.22
2020-06,11.06,11.06,11.06,0.0,0.0,4.5,11.06,7.06,7.06,7.06,0.0,0.0,0.0,7.06,29.32,29.32,29.32,0.0,0.0,8.89,29.32,12.96,12.96,12.96,-0.05,0.0,6.02,12.96,-1.08,-2.12,-5.65,4.02,4.02,0.35,-2.25,0.88,-1.39,0.88,5.03,5.03,-0.05,-9.91,-3.34,0.0,-0.63,0.0,0.0,2.58,-0.15,-3.41,0.0,-1.17,0.0,2.5,-1.48,-5.02,-1.65,0.0,2.04,0.0,0.0,3.69,-0.75,-5.46,-5.46,-2.71,0.53,-0.22,0.0,0.0
2020-07,0.74,0.74,-1.14,3.66,0.0,2.17,0.15,11.76,11.76,11.76,0.0,0.0,1.68,11.76,32.5,32.5,32.5,0.92,0.0,26.44,31.16,14.71,14.71,9.9,6.46,0.0,8.68,14.71,4.93,4.93,-0.83,1.64,1.64,0.47,2.5,11.71,11.71,-1.17,5.31,4.56,-1.45,-4.6,3.74,0.0,-3.42,0.0,0.0,-1.08,-3.21,5.73,0.0,2.31,0.0,2.61,4.35,0.04,-5.9,0.0,-3.16,0.0,7.8,-5.02,0.0,3.65,3.65,-1.51,-1.69,1.62,2.39,1.02
2020-08,10.28,10.28,4.44,3.29,0.0,0.07,4.35,26.0,26.0,26.0,5.34,0.0,21.41,26.0,74.15,74.15,40.93,8.61,0.0,35.67,50.87,9.05,9.05,5.06,3.2,0.0,5.79,9.05,9.52,9.52,4.36,0.0,0.0,4.69,3.33,15.58,15.58,10.47,0.0,0.0,16.31,15.53,3.67,0.0,0.27,0.0,0.0,-3.12,-3.39,4.85,0.0,3.68,0.0,0.0,-4.9,-0.47,-3.21,0.0,-2.45,0.0,-0.23,-1.72,-3.88,5.95,5.95,5.42,1.04,0.0,2.84,2.84
2020-09,-6.74,-6.74,-8.97,2.92,0.0,-3.69,-10.19,1.2,1.2,-6.45,7.95,0.0,-5.64,-5.64,-13.91,-13.91,-5.04,40.45,0.0,-16.1,-33.77,-8.76,-8.76,-10.13,-0.76,0.0,-4.51,-8.77,-10.06,-10.06,-7.45,1.08,0.0,-6.55,-6.55,-10.68,-10.68,-7.13,1.17,0.0,-7.56,-7.56,-3.91,0.0,-5.09,0.0,0.96,0.63,0.0,0.48,0.0,-0.89,0.29,0.0,-0.14,-0.14,-14.05,0.0,0.0,0.0,-14.05,0.0,0.0,-2.95,-2.95,-3.72,1.01,0.0,-2.56,-2.56
2020-10,-3.74,-3.74,-0.81,0.84,-0.15,2.75,-2.75,-7.36,-7.36,-1.7,-7.19,-0.78,-0.34,-1.16,-9.55,-9.55,-8.02,0.55,0.0,-3.64,-8.91,-3.58,-3.58,-1.24,2.36,0.0,1.1,-3.19,10.27,10.27,6.94,0.0,0.0,10.97,-3.53,0.46,0.46,-0.3,6.52,0.0,-1.37,-4.63,2.78,0.0,-3.72,0.0,1.63,-0.56,-5.92,-2.65,-5.46,-6.22,1.17,0.16,-4.23,-6.22,-4.98,0.0,-1.14,0.0,6.02,-11.55,0.0,-7.91,-7.91,-2.66,0.0,-0.95,-3.16,-4.5
2020-11,6.01,6.01,-0.43,0.0,6.82,-5.32,-5.62,6.92,6.92,-0.47,5.09,10.0,-9.91,-8.02,46.27,46.27,38.88,9.13,12.79,22.49,28.47,4.34,4.34,-1.06,0.0,0.0,-9.26,0.0,8.56,8.56,8.56,0.0,0.0,8.76,3.43,5.27,5.27,2.45,3.06,0.0,-3.94,-6.13,20.24,2.65,0.74,0.0,0.0,12.91,12.91,8.21,8.21,-2.99,0.0,9.33,0.15,-1.12,19.71,0.0,3.39,0.0,4.15,19.71,5.69,6.25,6.25,-2.86,-0.51,6.49,-1.06,-2.41
2020-12,3.9,3.9,3.69,0.0,0.0,-0.79,1.38,-2.56,-2.56,-2.78,3.8,2.82,-6.58,-3.53,24.33,24.33,24.33,0.0,0.0,6.96,24.33,2.81,2.81,2.73,3.41,0.0,-1.63,0.44,-0.1,-0.1,-1.66,-0.32,0.0,-0.47,-0.17,-1.38,-1.38,-1.28,4.58,3.61,-3.39,0.0,7.8,7.8,6.85,0.83,0.0,3.73,7.8,6.28,6.28,7.77,2.18,0.0,0.68,-0.9,8.1,0.0,8.1,-0.1,0.0,12.01,8.1,8.78,8.78,6.84,-0.05,0.0,5.42,4.68
2021-01,4.29,4.29,-3.62,0.79,0.0,0.81,0.81,-0.5,-0.5,-4.05,4.36,5.68,-11.49,-4.69,12.45,12.45,12.45,0.0,0.0,15.9,12.45,-1.56,-1.56,-5.06,0.0,0.0,-6.67,-7.21,4.26,4.26,1.59,0.0,0.0,-1.18,1.59,-5.43,-5.43,-2.57,3.88,1.48,-5.38,-7.12,1.99,1.99,1.99,-5.42,0.0,6.76,5.99,-12.2,-12.2,-7.92,-5.63,-4.74,-3.84,-4.9,8.78,-6.4,-4.36,3.06,0.0,4.21,2.72,3.65,3.65,3.65,1.65,0.0,3.65,3.65
2021-02,0.41,0.41,-1.1,-0.96,1.43,5.29,4.07,5.58,5.58,-0.72,-1.27,0.0,4.42,8.82,-14.87,-14.87,6.99,-7.82,-5.51,0.0,-0.05,-3.53,-3.53,-0.84,-1.52,-2.81,1.69,1.31,10.65,10.65,10.65,1.34,0.0,12.36,12.36,-0.27,-0.27,-0.01,2.07,1.1,1.2,1.2,14.38,14.38,5.57,3.79,0.0,4.96,4.14,1.74,1.74,-1.28,0.0,3.06,0.01,-2.65,23.31,23.31,8.12,5.7,0.0,6.08,6.08,-2.26,-2.26,-2.12,-0.38,0.0,-0.31,-1.2
