Date,Open,High,Low,Close,Volume,AdjClose
2018-06-01,120.37999725341797,121.31999969482422,119.97000122070312,121.26000213623047,5741000,97.24668884277344
2018-06-04,121.8499984741211,122.37000274658203,121.0199966430664,121.94999694824219,4853000,97.80003356933594
2018-06-05,122.05000305175781,122.55999755859375,120.9000015258789,121.4800033569336,5125400,97.42311096191406
2018-06-06,121.97000122070312,122.79000091552734,121.45999908447266,122.79000091552734,6799300,98.47367858886719
2018-06-07,123.0,123.48999786376953,122.2699966430664,123.33000183105469,7414100,98.9067611694336
2018-06-08,123.36000061035156,124.8499984741211,123.33000183105469,124.05999755859375,6208100,99.49219512939453
2018-06-11,124.2699966430664,124.33999633789062,122.55000305175781,122.66000366210938,5571400,98.36943817138672
2018-06-12,123.16000366210938,123.18000030517578,121.94999694824219,122.54000091552734,5227300,98.2732162475586
2018-06-13,123.1500015258789,124.08999633789062,122.45999908447266,122.62999725341797,5836900,98.34535217285156
2018-06-14,122.70999908447266,123.1500015258789,122.08999633789062,122.41000366210938,5239200,98.16893005371094
2018-06-15,122.0999984741211,122.7300033569336,121.23999786376953,122.61000061035156,13173500,98.3293228149414
2018-06-18,121.61000061035156,121.80999755859375,120.25,121.31999969482422,6787400,97.29478454589844
2018-06-19,120.66000366210938,123.16999816894531,120.56999969482422,122.56999969482422,8572400,98.29725646972656
2018-06-20,122.41999816894531,122.66000366210938,121.66000366210938,122.04000091552734,6277200,97.8722152709961
2018-06-21,121.83000183105469,122.23999786376953,121.11000061035156,121.44999694824219,4417200,97.39905548095703
2018-06-22,121.68000030517578,123.37999725341797,121.6500015258789,122.83999633789062,9501400,98.51380157470703
2018-06-25,122.81999969482422,123.43000030517578,121.51000213623047,122.58999633789062,8170500,98.31328582763672
2018-06-26,122.48999786376953,122.88999938964844,121.5999984741211,122.3499984741211,5496400,98.12083435058594
2018-06-27,122.12999725341797,122.97000122070312,121.44999694824219,121.61000061035156,5666000,97.52738952636719
2018-06-28,121.77999877929688,122.41000366210938,121.06999969482422,122.0,5296800,97.84014129638672
2018-06-29,122.23999786376953,123.18000030517578,121.19000244140625,121.33999633789062,7308700,97.31082916259766
2018-07-02,121.33999633789062,121.7300033569336,120.11000061035156,121.58000183105469,5481400,97.50331115722656
2018-07-03,121.6500015258789,123.45999908447266,121.26000213623047,122.70999908447266,4248100,98.40953826904297
2018-07-05,123.5999984741211,125.12000274658203,123.2300033569336,125.0,7319100,100.24604034423828
2018-07-06,125.16000366210938,125.91999816894531,124.61000061035156,125.75,7297900,100.8475112915039
2018-07-09,126.22000122070312,126.75,125.5999984741211,126.05000305175781,6706100,101.08810424804688
2018-07-10,126.37000274658203,127.5199966430664,126.11000061035156,127.37999725341797,5075600,102.15470123291016
2018-07-11,127.41000366210938,127.44000244140625,126.05999755859375,126.23999786376953,4827400,101.24049377441406
2018-07-12,127.70999908447266,128.2100067138672,127.16999816894531,127.76000213623047,6199000,102.45948791503906
2018-07-13,125.31999969482422,127.5,125.31999969482422,125.93000030517578,8250200,100.99187469482422
2018-07-16,126.0,126.0999984741211,124.16000366210938,124.69000244140625,7314400,99.99744415283203
2018-07-17,128.52999877929688,130.5399932861328,127.55999755859375,129.11000061035156,12858700,103.54212951660156
2018-07-18,128.80999755859375,129.0500030517578,127.16999816894531,127.80000305175781,7152000,102.49156188964844
2018-07-19,127.52999877929688,127.69999694824219,125.87000274658203,125.94000244140625,5984600,100.9998779296875
2018-07-20,125.30000305175781,126.13999938964844,125.12000274658203,125.8499984741211,5835500,100.92768859863281
2018-07-23,125.75,126.68000030517578,125.44999694824219,126.62999725341797,4631100,101.5532455444336
2018-07-24,127.23999786376953,129.6199951171875,127.1500015258789,129.36000061035156,7158800,103.74262237548828
2018-07-25,129.13999938964844,129.22999572753906,127.6500015258789,128.6199951171875,6523000,103.149169921875
2018-07-26,129.89999389648438,131.22000122070312,129.85000610351562,130.27999877929688,7640600,104.48043823242188
2018-07-27,129.97999572753906,132.27000427246094,129.94000244140625,131.5500030517578,6620400,105.49894714355469
2018-07-30,131.77999877929688,132.49000549316406,131.25,132.1699981689453,11013100,105.99614715576172
2018-07-31,132.27999877929688,132.63999938964844,131.77000427246094,132.52000427246094,7598900,106.2768325805664
2018-08-01,132.38999938964844,132.9600067138672,132.0800018310547,132.63999938964844,5770400,106.3730697631836
2018-08-02,132.88999938964844,133.0,131.08999633789062,131.25,6563300,105.25834655761719
2018-08-03,131.17999267578125,132.6999969482422,130.89999389648438,131.9499969482422,6498700,105.81969451904297
2018-08-06,131.63999938964844,132.52999877929688,131.00999450683594,132.02000427246094,5840000,105.8758544921875
2018-08-07,131.8800048828125,132.1699981689453,131.3000030517578,131.4600067138672,4664600,105.42675018310547
2018-08-08,131.49000549316406,131.8000030517578,130.88999938964844,131.1699981689453,3721500,105.19417572021484
2018-08-09,131.5399932861328,131.72000122070312,130.6699981689453,131.1999969482422,4057800,105.2182388305664
2018-08-10,131.19000244140625,131.6300048828125,130.25999450683594,130.75,4324000,104.85733795166016
2018-08-13,130.72000122070312,130.89999389648438,129.85000610351562,130.22000122070312,3778000,104.43231964111328
2018-08-14,129.6699981689453,130.47000122070312,129.35000610351562,129.5,4542800,103.85487365722656
2018-08-15,129.75,130.74000549316406,128.92999267578125,130.42999267578125,5377300,104.6007080078125
2018-08-16,131.02000427246094,132.8800048828125,130.57000732421875,132.47999572753906,7861500,106.2447738647461
