entry_ts,exit_ts,side,entry_px,exit_px,qty,bars_held,entry_z,reason,gross,cost,pnl,ret_pct,equity
2026-03-08 16:05:00+00:00,2026-03-08 18:05:00+00:00,long,364.56,364.100737,16.14,24,-2.505986695214475,time_stop,-7.412504820000344,4.11509262759,-11.527597447590345,-0.11527597447590346,9988.47240255241
2026-03-08 18:10:00+00:00,2026-03-08 20:10:00+00:00,long,364.2,364.940485,13.06,24,-2.0792659250289653,time_stop,9.670734100000459,3.3343517670500002,6.336382332950459,0.06343695089282408,9994.808784885361
2026-03-09 16:10:00+00:00,2026-03-09 18:10:00+00:00,short,380.62,378.903637,2.5,24,2.4160122325762634,time_stop,4.290907500000003,0.66393954625,3.626967953750003,0.036288517687650824,9998.435752839112
2026-03-09 19:25:00+00:00,2026-03-09 21:25:00+00:00,short,386.27,388.61654999999996,2.74,24,2.9081975361525325,time_stop,-6.4295469999999435,0.7440806335,-7.173627633499944,-0.07174749941722586,9991.262125205612
2026-03-16 16:55:00+00:00,2026-03-16 18:55:00+00:00,short,450.59,446.693968,6.94,24,1.958648991249876,time_stop,27.03846207999994,2.17544698896,24.863015091039937,0.24884759081954597,10016.125140296652
2026-03-16 19:50:00+00:00,2026-03-16 21:50:00+00:00,long,439.99,447.27577700000006,4.99,24,-3.175295313604295,time_stop,36.356027230000265,1.5550630836150003,34.80096414638526,0.34744937447291663,10050.926104443037
2026-03-22 18:45:00+00:00,2026-03-22 20:45:00+00:00,long,419.19,420.003961,16.65,24,-2.794019158081803,time_stop,13.552450650000102,4.892435675325,8.660014974675102,0.08616136348716086,10059.586119417712
2026-03-26 16:25:00+00:00,2026-03-26 18:25:00+00:00,long,365.76,355.09344,5.84,24,-2.238252826730529,time_stop,-62.292710400000026,1.4640805248,-63.75679092480003,-0.6337913922893134,9995.829328492913
2026-03-31 19:00:00+00:00,2026-03-31 21:00:00+00:00,short,334.14,338.31146299999995,3.24,24,2.2245730947380244,time_stop,-13.515540119999871,0.76458729006,-14.28012741005987,-0.1428608566710383,9981.549201082853
2026-04-05 18:50:00+00:00,2026-04-05 20:50:00+00:00,short,362.99,363.078891,21.9,24,2.0790702903430747,time_stop,-1.9467128999997725,5.56561005645,-7.512322956449772,-0.07526209414100563,9974.036878126402
