symbol,entry_ts,exit_ts,side,entry_px,exit_px,qty,bars_held,entry_z,reason,gross,cost,pnl,ret_pct,equity
SNDK,2026-03-09 00:15:00+00:00,2026-03-09 02:15:00+00:00,long,496.04,485.424329,3.24,8,-4.210057968638129,time_stop,-34.394774040000065,1.1078213329800002,-35.50259537298007,-0.35502595372980067,9964.49740462702
COIN,2026-03-10 02:45:00+00:00,2026-03-10 04:45:00+00:00,short,203.37,202.48072599999998,6.39,8,2.7506714950105837,time_stop,5.682460860000184,0.9068327795699999,4.775628080430184,0.04792643207687141,9969.27303270745
MSTR,2026-03-10 02:45:00+00:00,2026-03-10 04:45:00+00:00,short,141.60999999999999,141.002288,10.59,8,3.359763318136031,time_stop,6.435670079999918,1.04653709496,5.389132985039918,0.054057431944727674,9974.662165692489
MSTR,2026-03-12 02:45:00+00:00,2026-03-12 04:45:00+00:00,long,135.95000000000002,135.719272,15.3,8,-2.5425829800765447,time_stop,-3.530138400000422,1.4542594308,-4.984397830800422,-0.0499705929684926,9969.677767861689
INTC,2026-03-12 03:45:00+00:00,2026-03-12 05:45:00+00:00,long,46.88,47.125858,43.72,8,-3.258589087177949,time_stop,10.748911759999928,1.4400899758799999,9.308821784119928,0.09337134058763563,9978.986589645809
MSTR,2026-03-13 00:30:00+00:00,2026-03-13 02:30:00+00:00,short,139.51,139.001688,8.99,8,2.6950172774962726,time_stop,4.569724879999905,0.8756515675600001,3.6940733124399046,0.03701852166304014,9982.680662958248
INTC,2026-03-16 00:15:00+00:00,2026-03-16 02:15:00+00:00,short,46.58,46.213860000000004,71.98,8,5.131520212847734,time_stop,26.354757199999597,2.3338025014,24.020954698599596,0.2406262957777643,10006.701617656847
SNDK,2026-03-16 00:15:00+00:00,2026-03-16 02:15:00+00:00,short,683.2,676.6429320000001,2.59,8,5.5207246365499865,time_stop,16.982806119999893,1.2301501969400002,15.752655923059892,0.15742106165396497,10022.454273579906
COIN,2026-03-16 03:45:00+00:00,2026-03-16 05:45:00+00:00,short,201.95999999999998,202.86084,9.57,8,3.808406560185625,time_stop,-8.621038800000159,1.3572405594,-9.978279359400158,-0.09955924055152642,10012.475994220506
MSTR,2026-03-16 03:45:00+00:00,2026-03-16 05:45:00+00:00,short,144.13,145.253563,13.04,8,3.2819679812098905,time_stop,-14.65126152000024,1.32294427076,-15.97420579076024,-0.159543012137867,9996.501788429745
COIN,2026-03-17 00:15:00+00:00,2026-03-17 02:15:00+00:00,short,207.29,205.26155999999997,8.13,8,3.094639377356039,time_stop,16.491217200000143,1.1714417814000002,15.319775418600143,0.15325136475573603,10011.821563848345
COIN,2026-03-23 00:30:00+00:00,2026-03-23 02:30:00+00:00,long,192.22,193.311989,16.78,8,-3.034226137960352,time_stop,18.323575420000207,2.2669779077100003,16.056597512290207,0.16037638515521416,10027.878161360635
MSTR,2026-03-23 00:45:00+00:00,2026-03-23 02:45:00+00:00,long,131.29000000000002,132.41026499999998,17.61,8,-2.6330066381012,time_stop,19.72786664999931,1.6282757633249998,18.09959088667431,0.180492728326273,10045.977752247309
SNDK,2026-03-23 01:00:00+00:00,2026-03-23 03:00:00+00:00,long,686.49,690.062919,2.31,8,-3.9698744348232453,time_stop,8.2534428899999,1.114181051445,7.1392618385549,0.0710658734731702,10053.117014085863
SNDK,2026-03-23 04:00:00+00:00,2026-03-23 06:00:00+00:00,long,688.54,691.312544,2.71,8,-2.574225650831203,time_stop,7.5135942400001055,1.30991717712,6.2036770628801055,0.06170899089494196,10059.320691148743
SNDK,2026-03-26 02:30:00+00:00,2026-03-26 04:30:00+00:00,long,660.13,667.119804,2.44,8,-2.8764273371542006,time_stop,17.05512176000012,1.1360296008800002,15.919092159120119,0.15825215884734067,10075.239783307863
COIN,2026-03-30 00:15:00+00:00,2026-03-30 02:15:00+00:00,long,158.69,161.44155300000003,16.21,8,-3.2883185708261227,time_stop,44.60267413000048,1.8229567670650004,42.77971736293548,0.4246024738171562,10118.019500670798
SNDK,2026-03-30 03:15:00+00:00,2026-03-30 05:15:00+00:00,short,618.08,621.3863600000001,2.84,8,2.8397297534024535,time_stop,-9.390062400000115,1.2334380712000002,-10.623500471200115,-0.10499584894549577,10107.396000199598
MSTR,2026-03-30 03:30:00+00:00,2026-03-30 05:30:00+00:00,short,128.42999999999998,128.688595,11.38,8,2.621761963017581,time_stop,-2.942811100000158,1.02454478555,-3.967355885550158,-0.03925200798971181,10103.428644314048
SNDK,2026-04-01 00:15:00+00:00,2026-04-01 02:15:00+00:00,short,650.01,646.9140160000001,1.47,8,2.770403256262855,time_stop,4.551096479999898,0.66658474176,3.884511738239898,0.03844746051060599,10107.313156052289
COIN,2026-04-02 01:30:00+00:00,2026-04-02 03:30:00+00:00,long,170.10000000000002,167.64969,9.52,8,-3.4246173009967373,time_stop,-23.326951200000288,1.1218829244,-24.44883412440029,-0.24189251630894862,10082.86432192789
MSTR,2026-04-02 01:45:00+00:00,2026-04-02 03:45:00+00:00,long,120.19,119.76406,9.55,8,-2.606962501164195,time_stop,-4.067726999999973,0.8014362865000001,-4.869163286499973,-0.04829146888261378,10077.99515864139
SNDK,2026-04-02 02:15:00+00:00,2026-04-02 04:15:00+00:00,long,667.89,665.770209,1.08,8,-2.5748019017538124,time_stop,-2.289374279999961,0.5037801528600001,-2.793154432859961,-0.0277153777997697,10075.20200420853
COIN,2026-04-02 03:45:00+00:00,2026-04-02 05:45:00+00:00,long,167.69,167.369774,6.09,8,-2.694362859461069,time_stop,-1.9501763399999452,0.71388738183,-2.664063721829945,-0.02644178966056596,10072.5379404867
SNDK,2026-04-07 02:00:00+00:00,2026-04-07 04:00:00+00:00,long,718.07,716.2750530000001,3.61,8,-2.784308174382263,time_stop,-6.479758669999924,1.8113230106650002,-8.291081680664924,-0.08231372996212613,10064.246858806035
SNDK,2026-04-08 00:15:00+00:00,2026-04-08 02:15:00+00:00,short,758.52,758.857589,0.59,8,2.614597663686188,time_stop,-0.19917750999998815,0.31336834875499997,-0.5125458587549881,-0.0050927393370376215,10063.73431294728
SNDK,2026-04-09 01:30:00+00:00,2026-04-09 03:30:00+00:00,long,758.89,770.56876,1.5,8,-2.599128085902457,time_stop,17.518140000000017,0.8055935699999999,16.712546430000017,0.16606704738318512,10080.44685937728
SNDK,2026-04-10 01:00:00+00:00,2026-04-10 03:00:00+00:00,short,872.41,868.8205679999999,1.93,8,4.495847600807026,time_stop,6.927603760000196,1.1751621081199999,5.752441651880195,0.05706534375040149,10086.19930102916
SNDK,2026-04-13 00:15:00+00:00,2026-04-13 02:15:00+00:00,short,854.77,861.5483869999999,1.26,8,2.860121116658716,time_stop,-8.54076761999994,0.7581775238099999,-9.29894514380994,-0.09219473923007954,10076.900355885351
SNDK,2026-04-16 02:45:00+00:00,2026-04-16 04:45:00+00:00,short,914.62,902.600699,1.31,8,2.7059279641460403,time_stop,15.745284310000054,0.830833897845,14.914450412155054,0.14800633017517498,10091.814806297507
