entry_ts,exit_ts,side,entry_px,exit_px,qty,bars_held,entry_z,reason,gross,cost,pnl,ret_pct,equity,fold
2026-05-04 00:15:00+00:00,2026-05-04 02:15:00+00:00,short,553.85,559.36776,4.96,8,2.636269885564366,time_stop,-27.368089599999767,1.9366512448000002,-29.304740844799767,-0.29304740844799765,9970.6952591552,1
2026-05-07 05:30:00+00:00,2026-05-07 07:30:00+00:00,short,664.43,672.741762,6.07,8,2.6498626724161665,time_stop,-50.45239534000027,2.84838926767,-53.30078460767027,-0.5345744025094832,9917.39447454753,1
2026-05-11 00:30:00+00:00,2026-05-11 02:30:00+00:00,short,806.5,791.73745,1.46,8,4.1909534205801595,time_stop,21.55332300000005,0.8134663384999998,20.73985666150005,0.2091260634507158,9938.134331209028,1
2026-05-12 01:30:00+00:00,2026-05-12 03:30:00+00:00,long,770.94,781.0956010000001,1.23,8,-2.6066334961343642,time_stop,12.491389230000058,0.6700250346150001,11.821364195385058,0.11894953118375615,9949.955695404413,1
2026-05-13 04:15:00+00:00,2026-05-13 06:15:00+00:00,short,788.52,795.748653,1.8,8,2.5698283310453953,time_stop,-13.011575400000016,1.0000409877,-14.011616387700016,-0.1408208922394656,9935.944079016714,1
2026-05-15 01:45:00+00:00,2026-05-15 01:45:00+00:00,long,773.25,757.932552,3.32,0,-2.8789401624638535,z_stop,-50.85392736000004,1.7716060363200001,-52.625533396320044,-0.5296480432841566,9883.318545620394,1
2026-05-15 04:30:00+00:00,2026-05-15 06:30:00+00:00,long,754.55,763.061013,1.65,8,-2.6364062350670574,time_stop,14.043171450000079,0.8785268357249999,13.16464461427508,0.1332006507076385,9896.483190234669,1
2026-05-18 00:15:00+00:00,2026-05-18 02:15:00+00:00,long,710.52,740.637742,2.22,8,-3.5153536017213294,time_stop,66.86138724000006,1.1375787736200003,65.72380846638005,0.6641127681723631,9962.206998701049,1
2026-05-21 01:00:00+00:00,2026-05-21 03:00:00+00:00,short,741.99,754.4262600000001,3.06,8,3.3784079246954803,time_stop,-38.054955600000184,1.6083700578000002,-39.663325657800186,-0.39813793934388036,9922.543673043248,1
2026-05-21 03:15:00+00:00,2026-05-21 05:15:00+00:00,short,754.21,754.166182,1.6,8,2.5154785385880034,time_stop,0.07010879999997997,0.8446801456000002,-0.7745713456000202,-0.007806177237640304,9921.769101697648,1
2026-06-01 01:00:00+00:00,2026-06-01 04:00:00+00:00,short,1009.48,1006.1917669999999,2.31,12,3.089766876776487,time_stop,7.595818230000242,1.628531250885,5.967286979115242,0.05967286979115242,10005.967286979116,2
2026-06-08 01:30:00+00:00,2026-06-08 04:30:00+00:00,long,874.21,889.143177,1.48,12,-3.1326690281432157,time_stop,22.10110196,0.9167321109800001,21.18436984902,0.21171736066524496,10027.151656828135,2
2026-06-09 03:45:00+00:00,2026-06-09 05:45:00+00:00,short,967.2,996.1386779884522,2.62,8,3.849717522280058,stop,-75.81933632974457,1.8117544681648727,-77.63109079790945,-0.7742088028063825,9949.520566030225,2
2026-06-18 04:00:00+00:00,2026-06-18 06:00:00+00:00,short,1086.01,1088.786538,4.32,8,2.5807536716211428,time_stop,-11.994644160000318,3.2900915620800006,-15.284735722080319,-0.1528473572208032,9984.71526427792,3
2026-06-22 01:30:00+00:00,2026-06-22 03:30:00+00:00,short,1170.51,1165.579569,2.33,8,3.3672071756516444,time_stop,11.487904229999998,1.9033578578850001,9.584546372114998,0.09599218523942694,9994.299810650034,3
2026-06-26 02:15:00+00:00,2026-06-26 04:15:00+00:00,long,1149.72,1154.85344,1.11,8,-2.7063062556819077,time_stop,5.698118400000071,0.8961814992000002,4.801936900800071,0.04804675656901022,9999.101747550834,3
2026-06-29 00:30:00+00:00,2026-06-29 02:30:00+00:00,long,1132.2,1143.35689,4.11,8,-3.8448878235455544,time_stop,45.8548178999999,3.2802668089500004,42.5745510910499,0.4257837570407566,10041.676298641883,3
2026-07-01 02:15:00+00:00,2026-07-01 04:15:00+00:00,long,1132.17,1141.087571,2.44,8,-2.6036861068613093,time_stop,21.758873239999883,1.9446257966200002,19.814247443379884,0.19732011722046566,10061.490546085264,3
2026-07-02 00:15:00+00:00,2026-07-02 02:15:00+00:00,long,1011.85,1039.658009,1.67,8,-2.60311655822516,time_stop,46.43937502999995,1.206072337515,45.23330269248495,0.44956860502228835,10106.723848777749,3
2026-07-03 04:30:00+00:00,2026-07-03 06:30:00+00:00,short,1006.91,1009.8128529999999,1.94,8,2.062529686096552,time_stop,-5.631534819999876,1.37019954741,-7.001734367409876,-0.07001734367409876,9992.99826563259,4
2026-07-06 00:15:00+00:00,2026-07-06 02:15:00+00:00,short,1048.66,1003.020816,4.62,8,2.681355820954037,time_stop,210.85303008000054,3.28593992496,207.56709015504055,2.077125249474872,10200.56535578763,4
2026-07-08 00:45:00+00:00,2026-07-08 02:45:00+00:00,short,956.1,938.201376,2.01,8,2.6829610131492196,time_stop,35.976234240000075,1.32724458288,34.648989657120076,0.339677149732302,10235.21434544475,4
2026-07-09 00:15:00+00:00,2026-07-09 02:15:00+00:00,short,979.22,954.8163589999999,2.22,8,3.8433615998271042,time_stop,54.17608302000024,1.49461983849,52.68146318151024,0.5147079621733225,10287.895808626261,4
2026-07-13 00:45:00+00:00,2026-07-13 01:15:00+00:00,long,970.14,952.5156713349613,4.45,2,-2.22251210889518,stop,-78.42826255942204,2.982771968720289,-81.41103452814232,-0.7913283342146631,10206.484774098119,4
2026-07-14 01:00:00+00:00,2026-07-14 03:00:00+00:00,short,946.55,916.624905,3.63,8,2.978380931252132,time_stop,108.62809484999978,2.350869502575,106.27722534742479,1.0412715807614168,10312.761999445544,4
2026-07-14 03:15:00+00:00,2026-07-14 05:15:00+00:00,long,916.34,947.6756120000001,2.72,8,-2.130452281953217,time_stop,85.23286464000023,1.7873277923200004,83.44553684768023,0.8091482849324615,10396.207536293225,4
2026-07-15 00:30:00+00:00,2026-07-15 02:30:00+00:00,short,1004.8199999999999,998.6995199999999,3.26,8,3.3801028259484096,time_stop,19.95276480000014,2.2830228576,17.66974194240014,0.16996334365887716,10413.877278235625,4
2026-07-17 01:45:00+00:00,2026-07-17 03:45:00+00:00,long,824.9300000000001,834.279641,2.4,8,-2.3698510341869268,time_stop,22.439138399999774,1.3971019691999997,21.042036430799772,0.20205765699559722,10434.919314666424,4
2026-07-21 03:45:00+00:00,2026-07-21 05:45:00+00:00,short,900.8,902.540681,1.83,8,2.0634331355093676,time_stop,-3.185446229999991,1.155517523115,-4.340963753114991,-0.041600357628196576,10430.578350913309,4
2026-07-23 01:15:00+00:00,2026-07-23 03:15:00+00:00,short,992.51,971.271294,2.94,8,2.508545522233952,time_stop,62.44179563999994,2.01136468218,60.43043095781994,0.6043043095781994,10060.43043095782,5
2026-07-24 02:45:00+00:00,2026-07-24 04:45:00+00:00,long,968.15,972.748088,3.34,8,-3.171014286955916,time_stop,15.35761392000025,2.27121350696,13.08640041304025,0.13007793754798957,10073.51683137086,5
2026-07-27 01:30:00+00:00,2026-07-27 03:30:00+00:00,long,933.6800000000001,943.5668450000001,4.12,8,-2.158111110859928,time_stop,40.733801399999976,2.7131000207000002,38.02070137929998,0.3774322514744427,10111.53753275016,5
2026-07-29 00:15:00+00:00,2026-07-29 02:15:00+00:00,short,850.8199999999999,804.5212839999999,1.4,8,2.0519790122557215,time_stop,64.81820240000002,0.8013944987999998,64.01680790120002,0.6331065645937287,10175.55434065136,5
2026-07-29 04:15:00+00:00,2026-07-29 06:15:00+00:00,long,769.3100000000001,799.300138,1.01,8,-2.3498089638387536,time_stop,30.290039379999886,0.55904718969,29.730992190309887,0.2921805652546566,10205.285332841671,5
2026-07-31 01:00:00+00:00,2026-07-31 03:00:00+00:00,short,918.8,893.337921,1.43,8,2.1565335935472234,time_stop,36.41077296999986,0.901513413515,35.509259556484864,0.3479496985960046,10240.794592398157,5
2026-08-03 00:15:00+00:00,2026-08-03 02:15:00+00:00,long,843.6800000000001,841.237553,5.89,8,-2.3790405021544934,time_stop,-14.386012830000091,3.4712996335849997,-17.85731246358509,-0.1743742861207347,10222.937279934571,5
2026-08-05 05:00:00+00:00,2026-08-05 07:00:00+00:00,short,899.47,900.700129,3.7,8,2.1296436081058165,time_stop,-4.5514772999997035,2.33190303865,-6.883380338649704,-0.06733270634615258,10216.053899595921,5
