ma_len,z_entry,tp_sd,stop_sd,max_hold_bars,trades,final_equity,total_return_pct,days,cagr_pct,sharpe,sortino,max_dd_pct,max_dd_at,calmar,win_rate_pct,profit_factor,avg_win,avg_loss,expectancy,avg_bars_held,total_costs,cost_pct_of_gross,trades_per_week,max_consec_losses,score
72,2.5,1.0,4.0,48,107,9919.390048278643,-0.8060995172135654,155,-1.8878786037730855,-0.29137370104156873,-0.23051235313642238,-3.989888266886954,2026-07-14 01:00:00+00:00,-0.47316578247091423,67.28971962616822,0.9394293848833553,17.364341607091077,-38.02407278376889,-0.7533640347790013,10.906542056074766,216.8010370901745,159.18886063875027,4.832258064516129,4,-0.29137370104156873
72,2.5,1.0,4.0,24,107,9880.580004542357,-1.194199954576436,155,-2.789430922884417,-0.4689350269685111,-0.3845740154756005,-4.285617272762732,2026-07-14 01:00:00+00:00,-0.6508819489347926,65.42056074766354,0.9096734889867889,17.181034623988424,-35.73222754423881,-1.1160747239032371,8.598130841121495,219.07416515127846,219.83441919668846,4.832258064516129,4,-0.4689350269685111
72,2.5,1.0,3.0,48,107,9826.530611730359,-1.7346938826964142,155,-4.037020505826405,-0.496423063835882,-0.41570920844061643,-5.369734980364205,2026-07-14 01:00:00+00:00,-0.7518100093559165,66.35514018691589,0.9038818165506967,22.975797432032547,-50.13197238733183,-1.6212092361648152,10.19626168224299,291.40533572165526,247.087798094985,4.832258064516129,4,-0.496423063835882
72,3.0,2.5,3.0,48,58,9691.542050713384,-3.0845794928661574,155,-7.112465074227514,-1.0032999731115533,-0.6970766076403319,-5.541764282527417,2026-07-24 04:10:00+00:00,-1.2834297367450915,43.103448275862064,0.7880358597100625,45.871141206807714,-44.098075135054884,-5.31824050494169,19.482758620689655,191.05901791829433,162.7434046387287,2.6193548387096777,6,-0.5819139844047009
72,3.0,2.5,4.0,48,57,9751.714255894109,-2.4828574410589166,155,-5.748680551639329,-1.0444051493796211,-0.6856502618681086,-4.343130869040623,2026-07-24 04:10:00+00:00,-1.3236259106576693,43.859649122807014,0.7773597192887424,34.67608569751356,-34.849621454491526,-4.355890247471754,20.05263157894737,142.62343836824905,134.9804335354771,2.574193548387097,5,-0.595310935146384
72,3.0,1.0,4.0,24,60,9818.2256881239,-1.817743118760995,155,-4.227896639931227,-1.0573505749907084,-0.7787820142056584,-3.446948219919921,2026-07-31 01:10:00+00:00,-1.2265622719535514,60.0,0.7794035596258647,17.83996069480298,-34.333870703708335,-3.029571864601544,7.35,132.59405725238528,269.60831794569054,2.709677419354839,3,-0.6344103449944251
72,2.5,1.0,3.0,24,107,9781.081184667979,-2.1891881533202096,155,-5.078932357903454,-0.667447896213311,-0.5883451664594956,-5.586549173165989,2026-07-14 01:00:00+00:00,-0.9091358905957934,64.48598130841121,0.8773089246561424,22.68681726809896,-46.95550544291713,-2.0459702367478703,8.19626168224299,294.05793672753055,391.3513110962574,4.832258064516129,4,-0.667447896213311
72,2.5,1.5,4.0,24,99,9821.464323160784,-1.7853567683921545,155,-4.153487509652065,-0.7008439443492592,-0.5873548120809092,-4.081286068405499,2026-07-14 01:00:00+00:00,-1.0176908552932615,54.54545454545454,0.8806396900944491,24.393244666614713,-33.23935308525355,-1.80339067514359,11.414141414141413,223.48609499865782,497.183572811127,4.470967741935484,5,-0.6938355049057666
72,3.0,2.5,4.0,24,57,9749.52867863194,-2.5047132136806094,155,-5.798416208921886,-1.2466794337902198,-0.9253909334250761,-3.959655411779217,2026-07-15 00:55:00+00:00,-1.4643739431650307,42.10526315789473,0.7541924828093204,32.02091991430324,-30.877981797313545,-4.394233708211743,13.649122807017545,146.9199189729647,141.88114846806772,2.574193548387097,5,-0.7106072772604253
72,3.0,2.5,3.0,24,58,9656.888675832044,-3.431113241679562,155,-7.892687587485958,-1.2842552583476832,-0.9756785114657298,-5.346972025975361,2026-07-15 00:55:00+00:00,-1.4761041481316193,41.37931034482759,0.747146360620864,42.24353822652634,-39.91047769425252,-5.91571248565437,13.362068965517242,196.3102685856691,133.72537943069082,2.6193548387096777,6,-0.7448680498416562
