symbol,bars,first,dead_bar_pct,sigma_pct,events,ev_mean_pct,ev_mean_sd,cost_sd,net_sd,ev_t,ev_win_pct,trades,return_pct,sharpe,win_pct,pf,max_dd_pct
MU,14971,2026-03-04,1.0602678571428572,0.820910950088227,202,-0.0397580285177447,-0.04843159725603822,0.048726356976601444,-0.09715795423263966,-0.2279520935499734,53.960396039603964,69,-1.7214947659618174,-0.8091268181791842,55.072463768115945,0.8004977951493748,-4.900384105377786
NVDA,14973,2026-03-04,0.0,0.3149176436832247,219,0.012251327594319055,0.038903274681689956,0.12701733549180227,-0.08811406081011232,0.19352386213243583,53.88127853881278,72,-4.423124196863504,-1.9837763350827824,50.0,0.596633434400358,-5.006694891469488
AAPL,14968,2026-03-04,2.121127546748535,0.1939624050685258,232,0.0029795711172007767,0.01536159090287683,0.20622553110675357,-0.19086394020387673,0.05839549724615181,51.293103448275865,63,-6.912745292236256,-2.434268034415409,38.095238095238095,0.5181354178502965,-9.661736394948095
TSLA,15001,2026-03-04,0.055803571428571425,0.3291167526524167,222,0.03183253685261637,0.0967211076193226,0.1215374169732538,-0.024816309353931212,0.33766253080060815,51.35135135135135,63,-1.27372255581506,-0.38801165995032094,42.857142857142854,0.876925477259723,-4.535124224929166
AMD,14289,2026-03-11,3.0737704918032787,0.5635473456630291,218,-0.3279347552587971,-0.5819116313518836,0.0709789520043589,-0.6528905833562425,-2.1603191862668822,47.706422018348626,70,-7.054504449137566,-2.654910137703853,41.42857142857143,0.5016024100788904,-8.264800846473596
GOOGL,14970,2026-03-04,4.324776785714286,0.2708223522008614,221,-0.006728487914724404,-0.024844655029560007,0.14769829622605563,-0.17254295125561564,-0.10673815843457944,53.39366515837104,66,1.119642321879466,0.449965064214845,45.45454545454545,1.1424168550322935,-2.2933163524716194
MSFT,14969,2026-03-04,6.194196428571429,0.2627662623923509,239,-0.04540132266710832,-0.17278216104972063,0.1522265439855965,-0.32500870503531715,-0.7824080044264483,44.76987447698745,69,-8.596913822183216,-3.4705138724629987,30.434782608695656,0.4021963204595154,-9.41424134294837
AMZN,15002,2026-03-04,1.3671875,0.2419744247965809,280,-0.05176220125812144,-0.2139160008403204,0.16530672625268783,-0.3792227270930082,-0.9753799066076717,47.5,89,-13.878214139303491,-4.555073107192898,31.46067415730337,0.33740002450502155,-14.25175650351006
INTC,15001,2026-03-04,0.16741071428571427,0.7081679185782007,210,-0.19953788051993512,-0.2817663371712041,0.05648377870648052,-0.3382501158776846,-1.2927221633808443,46.19047619047619,58,-0.5499152475920366,-0.18841718100257224,48.275862068965516,0.93462139110995,-3.650372996560569
ORCL,14289,2026-03-11,4.537470725995316,0.4986514652248265,207,0.08961224713095191,0.17970918242574205,0.08021634907252351,0.09949283335321854,0.7530333899481578,54.106280193236714,68,0.9428301960430208,0.44976737025644187,60.29411764705882,1.116041205813966,-2.835768465876809
PLTR,15001,2026-03-04,1.171875,0.41460848877156947,222,-0.08225846799916009,-0.19840034689806071,0.09647655820679106,-0.29487690510485176,-0.7876517709179939,50.45045045045045,63,-5.866892065414064,-2.7034635546407446,50.79365079365079,0.45319067180801303,-7.080156019079542
COIN,15002,2026-03-04,0.027901785714285712,0.5396887056477173,230,-0.12198146011261522,-0.22602188787000263,0.0741168002617236,-0.30013868813172623,-0.8863482621976965,49.130434782608695,69,-6.3381091045457305,-2.561284662086625,40.57971014492754,0.526241361120234,-7.103357043253311
QQQ,14966,2026-03-04,2.345713487852555,0.18177762772548517,213,0.05237331825058429,0.2881175142723109,0.2200490813996469,0.06806843287266401,1.4348638193850403,50.23474178403756,62,-6.476617895600301,-3.210392717141475,38.70967741935484,0.35194111693624713,-7.0775338095020786
SNDK,14971,2026-03-04,0.5859375,0.8593204885169748,208,-0.020080434767012878,-0.023367806348557944,0.046548407182787487,-0.06991621353134543,-0.10743987312515478,47.59615384615385,65,-1.0500093840595803,-0.409829933879155,47.69230769230769,0.8862599815729918,-4.778447629476168
MSTR,15001,2026-03-04,0.0,0.6155159837833613,212,0.019665077797051976,0.031948931165325115,0.06498612717436517,-0.03303719600904005,0.1381352637992315,51.886792452830186,67,-4.044346021347678,-1.965104584428615,47.76119402985074,0.5848613436758505,-5.533824655784425
